PartitionKey,RowKey,Company,DisplayName,GUID,Token
chartAccentScatterplotFB2F1766D02949498AA7D4FFF7FB4433,30,ChartAccent,ChartAccent - Scatterplot,chartAccentScatterplotFB2F1766D02949498AA7D4FFF7FB4433,ChartAccent
choropleth4C77906D867C4C09AFE83BA5E2AA106A,58,Microsoft,Drilldown Choropleth,choropleth4C77906D867C4C09AFE83BA5E2AA106A,Microsoft
colorMapFE43D2D02D3D4329995B15E94EDC9279,40,"Beijing Shangbei Zhixin Technology Co., Ltd.",colorMap,colorMapFE43D2D02D3D4329995B15E94EDC9279,"Beijing Shangbei Zhixin Technology Co., Ltd."
columbusEEGanttChart99CCB2C0536D4CEAA68F3DAB56FBC693,89,Columbus Global,Gantt Chart for PowerBI by Columbus Estonia,columbusEEGanttChart99CCB2C0536D4CEAA68F3DAB56FBC693,Columbus Global
countdownFA24FE5944D34ADD929D0DAE6EE57D70,43,Diego Gutierrez Yepiz,Count Down Timer,countdownFA24FE5944D34ADD929D0DAE6EE57D70,Diego Gutierrez Yepiz
cylindricalGauge73A12A442345453EB69B593649C3A341,46,MAQ LLC,Cylindrical Gauge by MAQ Software,cylindricalGauge73A12A442345453EB69B593649C3A341,MAQ LLC
dataInsightsEC19A7A1FF1C44B784A13A27E1A145AB,49,MAQ LLC,Data Insights by MAQ Software,dataInsightsEC19A7A1FF1C44B784A13A27E1A145AB,MAQ LLC
databarKPIB8060E2B144244C5A38807466893C9F5,48,AllAboutData,Data bar KPI,databarKPIB8060E2B144244C5A38807466893C9F5,AllAboutData
dg5AAA90EFEFE747CB9357C4FC19B85A58,52,CloudFronts Technologies LLP,Dial Gauge,dg5AAA90EFEFE747CB9357C4FC19B85A58,CloudFronts Technologies LLP
dotPlotByOKViz24930F8B0456488F85D4AF007BF0F855,56,OKViz,Dot Plot by OKViz,dotPlotByOKViz24930F8B0456488F85D4AF007BF0F855,OKViz
drilldownCartogramD5E1077C70074FFCB26AFC2A636614BF,57,Microsoft,Drilldown Cartogram,drilldownCartogramD5E1077C70074FFCB26AFC2A636614BF,Microsoft
dynamicTooltip1859AB39DB23051788ADF752BCB90749,65,MAQ LLC,Dynamic Tooltip by MAQ Software,dynamicTooltip1859AB39DB23051788ADF752BCB90749,MAQ LLC
enlightenBubbleStack13709305C6AD4E59B8F78FFEA36FB62E,68,Enlighten Designs,Enlighten Bubble Stack,enlightenBubbleStack13709305C6AD4E59B8F78FFEA36FB62E,Enlighten Designs
