PartitionKey,RowKey,Company,DisplayName,GUID,Token
PBI_CV_522F2011_DD5A_44D2_A8ED_456F3931DF77,44,SnagR Software Ltd,CrossTab by SnagR ,PBI_CV_522F2011_DD5A_44D2_A8ED_456F3931DF77,SnagR Software Ltd
PBI_CV_658497A5_7E34_4F94_A51F_4E2213BB9051,157,Frank Thomson ,ScheduleView,PBI_CV_658497A5_7E34_4F94_A51F_4E2213BB9051,Frank Thomson 
PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,113,Microsoft,Infographic Designer,PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,Microsoft
PBI_CV_7B952816_A48F_49B4_9E13_15E3BB2C0337,27,OKViz,Card with States by OKViz,PBI_CV_7B952816_A48F_49B4_9E13_15E3BB2C0337,OKViz
PBI_CV_7BD71041_0FDE_423E_BAB2_9804ACC742E8_HTML,36,Microsoft,Clustering,PBI_CV_7BD71041_0FDE_423E_BAB2_9804ACC742E8_HTML,Microsoft
PBI_CV_7C9E2F85_7EFC_44EF_8632_1D27FE76F639,126,Luke Kubat,Measure Slicer,PBI_CV_7C9E2F85_7EFC_44EF_8632_1D27FE76F639,Luke Kubat
PBI_CV_807533A8_7DBB_41E8_AF46_0450D3447E61,51,Microsoft,Decision Tree Chart,PBI_CV_807533A8_7DBB_41E8_AF46_0450D3447E61,Microsoft
PBI_CV_815282F9_27F5_4950_9430_E910E0A8DB6A,172,OKViz,Synoptic Panel by OKViz,PBI_CV_815282F9_27F5_4950_9430_E910E0A8DB6A,OKViz
PBI_CV_885EF3C3_31C1_4745_B2B9_20771D5AD196,108,CloudScope,Image by CloudScope,PBI_CV_885EF3C3_31C1_4745_B2B9_20771D5AD196,CloudScope
PBI_CV_886A053E_9DFD_4EA0_A47D_CCAEB89AF969,25,OKViz,Candlestick by OkViz,PBI_CV_886A053E_9DFD_4EA0_A47D_CCAEB89AF969,OKViz
PBI_CV_8EDDC07B_EE79_4418_A84C_D73897C0E21F_HTML_work,181,Microsoft,Time Series Forecasting Chart,PBI_CV_8EDDC07B_EE79_4418_A84C_D73897C0E21F_HTML_work,Microsoft
PBI_CV_8EDDC07B_TBATS,83,Microsoft,Forecasting TBATS,PBI_CV_8EDDC07B_TBATS,Microsoft
PBI_CV_9053509D_D461_463A_B485_CE9F6AB0F13C,166,Microsoft,Stars,PBI_CV_9053509D_D461_463A_B485_CE9F6AB0F13C,Microsoft
PBI_CV_9272D058_BEA0_476A_B090_A712545F92FA,22,OKViz,Bullet Chart by OkViz,PBI_CV_9272D058_BEA0_476A_B090_A712545F92FA,OKViz
PBI_CV_94E55AB3_5D45_4B62_A49D_19E2109AA028,123,Jon Gallant,Liquid Fill Gauge,PBI_CV_94E55AB3_5D45_4B62_A49D_19E2109AA028,Jon Gallant
PBI_CV_967A08ED_59CD_405F_B41A_8CE2050AD30E,38,Microsoft,Clustering With Outliers,PBI_CV_967A08ED_59CD_405F_B41A_8CE2050AD30E,Microsoft
PBI_CV_9D783E0D_2610_4C22_9576_88AD092AB59E,165,Microsoft,Spline chart,PBI_CV_9D783E0D_2610_4C22_9576_88AD092AB59E,Microsoft
PBI_CV_A06338A2_89CC_4AD7_885A_A321D6AFF1EA,77,Microsoft,FlexAxisChart,PBI_CV_A06338A2_89CC_4AD7_885A_A321D6AFF1EA,Microsoft
PBI_CV_AD348DC9_41C4_4867_B19O_53F9RDC6IEAS_HTML,84,Microsoft,Forecasting with ARIMA,PBI_CV_AD348DC9_41C4_4867_B19O_53F9RDC6IEAS_HTML,Microsoft
PBI_CV_C7EC95FF_9C47_4A9B_AC8A_D519AE191B94,107,James Dales,Icon Map,PBI_CV_C7EC95FF_9C47_4A9B_AC8A_D519AE191B94,James Dales
PBI_CV_CAD60C71_FAD5_4B59_A498_A7FB0DDC7A2B,180,Microsoft,Time series decomposition chart,PBI_CV_CAD60C71_FAD5_4B59_A498_A7FB0DDC7A2B,Microsoft
PBI_CV_EB3A4088_75C5_4746_9D8B_255A7B7ECD6C,125,Mapbox,Mapbox Viz,PBI_CV_EB3A4088_75C5_4746_9D8B_255A7B7ECD6C,Mapbox
PBI_CV_ED2AEAFC_5929_4D92_A6E8_CBDCD4932759,76,KPMG ,FinRepPoC,PBI_CV_ED2AEAFC_5929_4D92_A6E8_CBDCD4932759,KPMG 
PBI_CV_EED04B38_70C9_4723_9C08_538DDC65A5FD,106,Microsoft,HTML-text-viewer,PBI_CV_EED04B38_70C9_4723_9C08_538DDC65A5FD,Microsoft
PBI_CV_F8245BAE_FD3C_4553_91B7_DA42511A53BA,80,Microsoft,Flywheel,PBI_CV_F8245BAE_FD3C_4553_91B7_DA42511A53BA,Microsoft
PBI_CV_FC22EF20_6A7C_4F30_B29B_144CD82E5279,42,Microsoft,Correlation plot,PBI_CV_FC22EF20_6A7C_4F30_B29B_144CD82E5279,Microsoft
PBI_CV_FFFE680D_D220_4F62_B16C_C7B5C5732654,177,MAQ LLC,Text Wrapper by MAQ Software,PBI_CV_FFFE680D_D220_4F62_B16C_C7B5C5732654,MAQ LLC
PercentileChart1450286532448,134,John Keech,Percentile Chart,PercentileChart1450286532448,John Keech
