PartitionKey,RowKey,Timestamp,Company,Company@type,DisplayName,DisplayName@type,GUID,GUID@type,Token,Token@type
swDataTextBox142233AC1451461DB2DC3DAACF6A119C,170,2018-07-01T10:34:15.027Z,"Beijing Shangbei Zhixin Technology Co., Ltd.",Edm.String,swDataTextBox,Edm.String,swDataTextBox142233AC1451461DB2DC3DAACF6A119C,Edm.String,"Beijing Shangbei Zhixin Technology Co., Ltd.",Edm.String
swOrgChart2A3BCE7191B5491FBB82F771A169702D,171,2018-07-01T10:34:15.029Z,"Beijing Shangbei Zhixin Technology Co., Ltd.",Edm.String,swOrgChart,Edm.String,swOrgChart2A3BCE7191B5491FBB82F771A169702D,Edm.String,"Beijing Shangbei Zhixin Technology Co., Ltd.",Edm.String
textFilter25A4896A83E0487089E2B90C9AE57C8A,176,2018-07-01T10:34:15.036Z,MSR,Edm.String,Text Filter,Edm.String,textFilter25A4896A83E0487089E2B90C9AE57C8A,Edm.String,MSR,Edm.String
threejsE0E480FFE18F46FE90AD2FA3A0D80C5F,91,2018-07-01T10:34:15.026Z,Jack Butts,Edm.String,Globe Data Bars,Edm.String,threejsE0E480FFE18F46FE90AD2FA3A0D80C5F,Edm.String,Jack Butts,Edm.String
timeline1E0B9DD0A83A4E79BB5F9DE15C7690AE,110,2018-07-01T10:34:15.035Z,BlueGranite,Edm.String,Image Timeline,Edm.String,timeline1E0B9DD0A83A4E79BB5F9DE15C7690AE,Edm.String,BlueGranite,Edm.String
titleboxF0BB233DD2994773B611FAC769C85681,185,2018-07-01T10:34:15.046Z,Ilitia,Edm.String,Titlebox,Edm.String,titleboxF0BB233DD2994773B611FAC769C85681,Edm.String,Ilitia,Edm.String
treeImageFreeE1148639291D450198F892FA45A672BC,190,2018-07-01T10:34:15.036Z,Klaus Birringer,Edm.String,Ultimate decomposition Tree,Edm.String,treeImageFreeE1148639291D450198F892FA45A672BC,Edm.String,Klaus Birringer,Edm.String
treeviz2DC46116C4554E20B59DD525EA4DC972,189,2018-07-01T10:34:15.051Z,autocont,Edm.String,TreeViz,Edm.String,treeviz2DC46116C4554E20B59DD525EA4DC972,Edm.String,autocont,Edm.String
tweetlistEC3257599B0A40D19C16301EC2109CDE,182,2018-07-01T10:34:15.053Z,CloudScope,Edm.String,Timeline by CloudScope,Edm.String,tweetlistEC3257599B0A40D19C16301EC2109CDE,Edm.String,CloudScope,Edm.String
twitterUserListC3F9093B9BF24EE48942A2D69AF68355,193,2018-07-01T10:34:15.050Z,CloudScope,Edm.String,User List by CloudScope,Edm.String,twitterUserListC3F9093B9BF24EE48942A2D69AF68355,Edm.String,CloudScope,Edm.String
ultimateVariance9712E1351D4E4FA89077ED4D9351DC71,191,2018-07-01T10:34:15.043Z,Klaus Birringer,Edm.String,Ultimate Variance,Edm.String,ultimateVariance9712E1351D4E4FA89077ED4D9351DC71,Edm.String,Klaus Birringer,Edm.String
ultimateWaterfall9712E1351D4E4FA89077ED4D9351DC71,192,2018-07-01T10:34:15.153Z,Klaus Birringer,Edm.String,Ultimate Waterfall,Edm.String,ultimateWaterfall9712E1351D4E4FA89077ED4D9351DC71,Edm.String,Klaus Birringer,Edm.String
vennDiagram8527AJ74DB74562488PCR752UTY94651,194,2018-07-01T10:34:15.145Z,MAQ Software,Edm.String,Venn Diagram by MAQ Software,Edm.String,vennDiagram8527AJ74DB74562488PCR752UTY94651,Edm.String,MAQ Software,Edm.String
vitarachartsMicrochart0A1B0D2B8A234CE5923234CD03573361,198,2018-07-01T10:34:15.144Z,Vitara LLC,Edm.String,VitaraCharts - MicroChart,Edm.String,vitarachartsMicrochart0A1B0D2B8A234CE5923234CD03573361,Edm.String,Vitara LLC,Edm.String
